Starting Coordinate; End Coordinate; True Distance(km) 
[-19.000019, 11.0];[-19.680148, 4.224433];1158.2188687722503
[-19.000019, 11.0];[-27.000019, 14.00001];981.6475063631792
[-19.680148, 4.224433];[-20.00001, 0.0];443.2711962503361
[-19.680148, 4.224433];[-17.795278, 2.55855];273.3048362957827
[-20.00001, 0.0];[-22.121247, 0.000598];235.87112657040987
[-20.00001, 0.0];[-21.216505, -1.147663];180.45656145425727
[-20.00001, 0.0];[-20.03662, -2.645123];276.38170467023986
[-20.00001, 0.0];[-17.795278, 2.55855];364.0559104388754
[-20.00001, 0.0];[-25.29923, 5.023735];1499.0996389434858
[-20.00001, 0.0];[-14.888766, 0.000792];1111.7150820286752
[20.74999, 38.900009];[16.29999, 41.200001];551.0073274573782
[20.74999, 38.900009];[26.999981, 34.5];744.8331967359064
[16.29999, 41.200001];[20.74999, 38.900009];26.724426643529632
[20.817065, -71.705206];[20.29999, -72.0];65.17518205293851
[20.817065, -71.705206];[20.816858, -71.704646];0.06259029563352296
[20.29999, -72.0];[20.816858, -71.704646];65.18237202865075
[20.29999, -72.0];[20.904471, -73.611948];180.73899934693867
[-20.999981, -175.5];[-20.951269, -175.296936];21.768083984775846
[-20.951269, -175.296936];[-20.00001, -170.0];561.7957464310368
[-20.00001, -170.0];[-19.181589, -170.096664];91.56603708954187
[-20.00001, -170.0];[-20.999981, -175.5];583.4984287081476
[-20.00001, -170.0];[-14.39999, -170.700012];627.1139634210308
[-20.00001, -170.0];[-24.723026, -174.455771];696.8245962282411
[-20.00001, -170.0];[-24.947443, -165.332975];729.6338144178474
[-20.00001, -170.0];[-15.086426, -165.085319];105.5804201351784
[-20.00001, -170.0];[-26.764111, -169.999091];1112.3244551738846
[-20.00001, -170.0];[-20.00001, -160.000015];1044.6503145567888
[-20.00001, -170.0];[-15.170377, -165.000196];772.1370519095886
[-23.95577, -175.805176];[-24.723026, -174.455771];161.1458020477318
[-24.723026, -174.455771];[-26.958143, -170.524773];465.283574894465
[-24.723026, -174.455771];[-25.084961, -174.797226];52.968248338509724
[-26.958143, -170.524773];[-27.256961, -169.99923];61.72483958031406
[-26.958143, -170.524773];[-26.764111, -169.999091];56.43346739796973
[-27.256961, -169.99923];[-28.287332, -168.187071];211.92572100575086
[-27.256961, -169.99923];[-30.00001, -170.0];305.0135628946504
[-28.287332, -168.187071];[-30.093368, -165.010719];367.9434991380881
[-28.287332, -168.187071];[-30.00001, -170.0];259.35062436074253
[-30.093368, -165.010719];[-31.931988, -161.777059];369.786285870233
[-30.093368, -165.010719];[-30.000019, -160.000015];1.9719302112207575
[-31.931988, -161.777059];[-32.943103, -159.998767];201.21958132742697
[-31.931988, -161.777059];[-35.38574, -164.999981];888.8886388199348
[-32.943103, -159.998767];[-35.633011, -155.26791];527.4929834688666
[-32.943103, -159.998767];[-40.000031, -160.000015];457.89603133747534
[-35.633011, -155.26791];[-36.426721, -153.871978];153.44627803516522
[-35.633011, -155.26791];[-40.000031, -160.000015];638.9941728085295
[-36.426721, -153.871978];[-38.628638, -149.999372];420.13783377951813
[-36.426721, -153.871978];[-39.999989, -150.0];521.7132417993182
[-38.628638, -149.999372];[-39.151227, -149.080271];98.51035792865737
[-38.628638, -149.999372];[-39.999989, -150.0];152.4874940428233
[-39.151227, -149.080271];[-40.053525, -147.493361];168.9648381982771
[-39.151227, -149.080271];[-39.999989, -150.0];122.96597394258109
[-40.053525, -147.493361];[-42.861463, -142.55492];516.426379558461
[-40.053525, -147.493361];[-39.999989, -150.0];213.50869353493516
[-42.861463, -142.55492];[-44.315634, -139.997407];261.8439835986911
[-42.861463, -142.55492];[-45.402345, -144.887574];594.4224285812029
[-44.315634, -139.997407];[-46.516567, -136.126531];388.7377047605657
[-44.315634, -139.997407];[-50.000011, -140.0];152.68331298615794
[-46.516567, -136.126531];[-50.000038, -130.0];596.0988225895742
[-46.516567, -136.126531];[-50.000011, -140.0];481.79289304528527
[-1e-05, 8.0];[-2e-05, 0.0];283.3794218374708
[-1e-05, 8.0];[2.99997, 8.0];77.56746410118772
[-1e-05, 8.0];[-6.00003, 11.0];176.75026480334236
[-2e-05, 0.0];[4.0, -1.0];458.44930339217314
[-2e-05, 0.0];[3.49999, -7.49999];919.8048223061272
[-2e-05, 0.0];[2.99997, 8.0];949.6797086008114
[-2e-05, 0.0];[-1e-05, 8.0];889.560641870957
[-2e-05, 0.0];[-3.0586, 5.577731];1391.1469269853758
[-2e-05, 0.0];[-10.00002, 0.0];1112.0308644100865
[-2e-05, 0.0];[-2e-05, -9.99999];1111.9485784336564
[2.99997, 8.0];[-1e-05, 8.0];333.58301679899404
[2.99997, 8.0];[4.99999, 2.5];1161.0727730339397
[37.39999, 7.5];[41.29998, 2.5];610.4399338211966
[37.39999, 7.5];[37.199989, 3.09999];389.79224141721954
[37.39999, 7.5];[37.499981, 11.0];467.05596887377527
[37.499981, 11.0];[38.900002, 9.65];195.31764355139734
[37.499981, 11.0];[37.39999, 7.5];309.14828148652555
[41.099991, 29.1];[42.999969, 33.0];376.8515233639462
[41.099991, 29.1];[39.399979, 25.5];537.7716940459597
[42.999969, 33.0];[44.999981, 36.400009];351.2541503721568
[42.999969, 33.0];[44.999981, 36.400009];351.2541503721568
[42.999969, 33.0];[46.249981, 30.9];397.7298831982741
[42.999969, 33.0];[41.099991, 29.1];385.07165383273457
[-8.9, 179.300003];[-7.6665, 178.567535];159.0857132049517
[-8.9, 179.300003];[-13.144327, 174.075655];740.0647497225182
[-8.9, 179.300003];[-13.65114, 179.006592];529.2707912283057
[-8.9, 179.300003];[-11.21892, 176.574539];394.35545356465127
[-8.9, 179.300003];[-14.50584, -175.890411];811.9326256075129
[-8.9, 179.300003];[-12.798694, -173.658682];882.3086793949938
[-8.9, 179.300003];[-11.63368, -175.816116];614.5025277358923
[-8.9, 179.300003];[-14.357706, -170.771619];1239.185881421161
[-8.9, 179.300003];[-14.36573, -170.75676];1241.0178437510044
[-8.9, 179.300003];[-14.39999, -170.700012];1248.202035983152
[-8.9, 179.300003];[-13.77725, -171.754608];1115.294182895063
[-8.9, 179.300003];[-14.73458, -171.667786];1176.5965141912918
[-8.9, 179.300003];[-14.35031, -170.692505];1246.3404447315877
[-8.9, 179.300003];[-2e-05, -180.0];987.2433182460456
[-8.9, 179.300003];[1.033799, -171.019073];1536.1410895354988
[-8.9, 179.300003];[-2.51188, -177.523956];789.1124472804916
[-8.9, 179.300003];[-5.01902, -175.038376];758.6000022444675
[-8.9, 179.300003];[-7.5167, -172.53363];912.6990026271017
[-8.9, 179.300003];[-2e-05, -174.999985];1169.6240370516825
[-8.9, 179.300003];[-2e-05, -171.651607];1405.371795432855
[-8.9, 179.300003];[-17.71505, -173.056183];1278.8331072767078
[-8.9, 179.300003];[-0.67261, -172.063126];1320.6627011467879
[-8.9, 179.300003];[-3.83334, -174.0];929.009362881872
[-7.6665, 178.567535];[-7.059608, 178.189026];79.34939836453535
[-7.6665, 178.567535];[-14.50584, -175.890411];968.7604566053558
[-7.6665, 178.567535];[-12.798694, -173.658682];1023.2685853495866
[-7.6665, 178.567535];[-11.63368, -175.816116];756.5322636714933
[-7.6665, 178.567535];[-14.357706, -170.771619];1379.6072819657902
[-7.6665, 178.567535];[-14.36573, -170.75676];1381.437964764417
[-7.6665, 178.567535];[-14.39999, -170.700012];1388.6369212886837
[-7.6665, 178.567535];[-13.77725, -171.754608];1255.5308281333844
[-7.6665, 178.567535];[-14.73458, -171.667786];1321.6876356605483
[-7.6665, 178.567535];[-14.35031, -170.692505];1386.48279004911
[-7.6665, 178.567535];[-2e-05, -180.0];862.5452562508483
[-7.6665, 178.567535];[1.033799, -171.019073];1504.0975957605
[-7.6665, 178.567535];[-2.51188, -177.523956];715.9724433113115
[-7.6665, 178.567535];[-5.01902, -175.038376];765.5843782476817
[-7.6665, 178.567535];[-7.5167, -172.53363];982.11052104233
[-7.6665, 178.567535];[-2e-05, -174.999985];1108.3338050344282
[-7.6665, 178.567535];[-2e-05, -171.651607];1377.3680384109255
[-7.6665, 178.567535];[-0.67261, -172.063126];1295.7180934229827
[-7.6665, 178.567535];[-3.83334, -174.0];925.8218234059932
[-7.059608, 178.189026];[-3.856155, 176.191083];419.26167549602764
[-7.059608, 178.189026];[-7.090659, 178.163198];4.477075981028825
[-7.059608, 178.189026];[-14.50584, -175.890411];1047.3910131395473
[-7.059608, 178.189026];[-12.798694, -173.658682];1096.100710595176
[-7.059608, 178.189026];[-11.63368, -175.816116];830.2811213561247
[-7.059608, 178.189026];[-14.357706, -170.771619];1451.8043179513354
[-7.059608, 178.189026];[-14.36573, -170.75676];1453.6328104794734
[-7.059608, 178.189026];[-14.39999, -170.700012];1460.831231489434
[-7.059608, 178.189026];[-13.77725, -171.754608];1327.7779301102391
[-7.059608, 178.189026];[-14.73458, -171.667786];1395.8067507673254
[-7.059608, 178.189026];[-14.35031, -170.692505];1458.560220918577
[-7.059608, 178.189026];[-2e-05, -180.0];806.1318749166614
[-7.059608, 178.189026];[2.51185, -172.476044];1481.8443462028345
[-7.059608, 178.189026];[1.033799, -171.019073];1495.9361003730496
[-7.059608, 178.189026];[2.51201, -177.523682];1160.662036077789
[-7.059608, 178.189026];[2.697968, -170.000132];1698.8732991284512
[-7.059608, 178.189026];[-2.51188, -177.523956];692.0687557600857
[-7.059608, 178.189026];[-5.01902, -175.038376];782.9453753000173
[-7.059608, 178.189026];[-7.5167, -172.53363];1025.6860573541092
[-7.059608, 178.189026];[-2e-05, -174.999985];1086.9118183902594
[-7.059608, 178.189026];[-2e-05, -171.651607];1371.8518180580138
[-7.059608, 178.189026];[2.48897, -170.128738];1673.1616146959666
[-7.059608, 178.189026];[-0.67261, -172.063126];1292.196227898245
[-7.059608, 178.189026];[-3.83334, -174.0];936.1431215946586
[-3.856155, 176.191083];[1.1, 173.100006];649.3900836253689
[-3.856155, 176.191083];[-3.893067, 176.154487];5.773207057024332
[-3.856155, 176.191083];[-12.798694, -173.658682];1491.8311794117612
[-3.856155, 176.191083];[-11.63368, -175.816116];1231.2536790318427
[-3.856155, 176.191083];[-13.77725, -171.754608];1719.8384281579747
[-3.856155, 176.191083];[5.00037, -180.0];1066.9977851286878
[-3.856155, 176.191083];[-2e-05, -180.0];601.1033649120764
[-3.856155, 176.191083];[5.057167, -174.999909];1389.6000784597338
[-3.856155, 176.191083];[5.01899, -174.961624];1389.6281994534097
[-3.856155, 176.191083];[2.51185, -172.476044];1444.1370230340985
[-3.856155, 176.191083];[1.033799, -171.019073];1522.1712190439205
[-3.856155, 176.191083];[5.01925, -175.037933];1383.6536433750468
[-3.856155, 176.191083];[2.51201, -177.523682];992.378576302647
[-3.856155, 176.191083];[5.00037, -170.000244];1821.2812727962005
[-3.856155, 176.191083];[2.697968, -170.000132];1698.63696038588
[-3.856155, 176.191083];[-2.51188, -177.523956];714.189169984999
[-3.856155, 176.191083];[-5.01902, -175.038376];981.8591774924677
[-3.856155, 176.191083];[-7.5167, -172.53363];1312.7577557928096
[-3.856155, 176.191083];[-2e-05, -174.999985];1068.62352000016
[-3.856155, 176.191083];[-2e-05, -171.651607];1417.9567837185932
[-3.856155, 176.191083];[2.48897, -170.128738];1675.921307931447
[-3.856155, 176.191083];[-0.67261, -172.063126];1352.9490923098822
[-3.856155, 176.191083];[-3.83334, -174.0];1089.4794777930672
[1.1, 173.100006];[1.27382, 173.224518];23.77338506560203
[1.1, 173.100006];[1.18018, 173.039032];11.199938433551653
[1.1, 173.100006];[-3.893067, 176.154487];650.7441308607916
[1.1, 173.100006];[10.00001, -180.0];1245.788955067326
[1.1, 173.100006];[5.00037, -180.0];879.8348722469443
[1.1, 173.100006];[-2e-05, -180.0];777.6286064451177
[1.1, 173.100006];[7.51668, -177.46637];1264.4909877806558
[1.1, 173.100006];[5.057167, -174.999909];1393.0502137587787
[1.1, 173.100006];[5.01899, -174.961624];1395.8011495425592
[1.1, 173.100006];[2.51185, -172.476044];1612.405351971617
[1.1, 173.100006];[1.033799, -171.019073];1767.5646904384764
[1.1, 173.100006];[10.03671, -174.999741];1646.673719804713
[1.1, 173.100006];[7.51688, -172.533264];1744.7530346197495
[1.1, 173.100006];[5.01925, -175.037933];1387.750677481643
[1.1, 173.100006];[2.51201, -177.523682];1054.842921986999
[1.1, 173.100006];[5.00037, -170.000244];1927.1230083322366
[1.1, 173.100006];[2.697968, -170.000132];1888.4738894631116
[1.1, 173.100006];[-2.51188, -177.523956];1117.303824188891
[1.1, 173.100006];[-5.01902, -175.038376];1482.4524116945731
[1.1, 173.100006];[-7.5167, -172.53363];1858.1404266062018
[1.1, 173.100006];[-2e-05, -174.999985];1330.1947025306367
[1.1, 173.100006];[-2e-05, -171.651607];1701.6912658687359
[1.1, 173.100006];[2.48897, -170.128738];1872.3159772149759
[1.1, 173.100006];[-0.67261, -172.063126];1663.1458104747
[1.1, 173.100006];[-3.83334, -174.0];1535.3485262424292
[25.700001, 120.0];[25.823579, 122.417975];242.53003855958187
[25.700001, 120.0];[25.823579, 122.417975];242.53003855958187
[25.700001, 120.0];[27.79999, 121.300003];266.8058188549772
[25.700001, 120.0];[22.099991, 120.0];400.30340079152114
[25.700001, 120.0];[22.99999, 117.0];427.16202105897406
[25.823579, 122.417975];[25.99999, 128.000015];558.5975462336608
[25.823579, 122.417975];[25.99999, 128.000015];558.5975462336608
[25.99999, 128.000015];[29.081404, 124.891693];753.7732562213149
[20.00001, 129.999985];[21.175629, 124.506291];586.5686250949537
[20.00001, 129.999985];[18.99999, 122.999977];742.0357856716404
[20.00001, 129.999985];[25.99999, 128.000015];697.8246476823679
[20.00001, 129.999985];[23.703474, 132.206951];470.5711212262242
[20.00001, 129.999985];[16.85345, 129.999485];349.8819956342679
[20.00001, 129.999985];[18.26882, 131.828036];271.90329040429424
[20.00001, 129.999985];[20.058299, 134.213872];440.26010461868265
[20.00001, 129.999985];[13.39999, 125.699997];864.7613749917847
[20.00001, 129.999985];[21.217798, 124.535486];1063.2995493950334
[21.175629, 124.506291];[21.701109, 122.050711];260.78289958117506
[21.175629, 124.506291];[21.217798, 124.535486];5.580998345191064
[21.701109, 122.050711];[22.099991, 120.0];216.16970186041067
[21.701109, 122.050711];[22.099991, 120.0];216.16970186041067
[22.099991, 120.0];[21.699989, 114.100014];610.2901484499719
[22.099991, 120.0];[18.99999, 120.0];344.7048599190321
[50.79998, -1.0];[50.099979, -3.99999];226.20233476680917
[50.79998, -1.0];[50.26274, -0.343372];75.64802094118697
[50.79998, -1.0];[50.79998, 1.30001];161.6349166390405
[50.79998, -1.0];[50.79998, 1.30001];161.6349166390405
[50.79998, 1.30001];[49.89999, 0.09999];131.39121077111807
[50.79998, 1.30001];[51.099979, 2.1];65.21780758791789
[4.99999, 2.5];[2.99997, 8.0];649.3228246911332
[4.99999, 2.5];[4.316434, 0.036937];355.6183046725728
[4.316434, 0.036937];[4.0, -1.0];120.26108980764721
[4.316434, 0.036937];[4.99999, 2.5];283.3585213397246
[4.0, -1.0];[4.99999, 2.5];403.59729309310615
[4.0, -1.0];[4.316434, 0.036937];237.84891596092692
[-35.099998, -56.5];[-34.200031, -58.400009];200.54581887851143
[-35.099998, -56.5];[-34.200031, -58.400009];200.54581887851143
[-35.099998, -56.5];[-35.249989, -54.599998];78.47058558123277
[-35.249989, -54.599998];[-35.099998, -56.5];173.49282441221501
[-35.249989, -54.599998];[-32.20002, -51.799999];426.6510370144601
[10.0, -50.0];[12.74586, -58.97554];1024.8340593074506
[10.0, -50.0];[7.800353, -50.90855];264.16836136327663
[10.0, -50.0];[12.120634, -56.795139];1310.5573672734506
[10.0, -50.0];[10.550863, -55.546846];1207.639144655002
[10.0, -50.0];[4.493872, -44.441041];1176.3906506524845
[12.74586, -58.97554];[12.747135, -58.979709];0.47385391907796426
[12.74586, -58.97554];[12.617818, -59.124013];21.497353915272548
[12.747135, -58.979709];[12.990864, -59.776401];90.51545849915712
[12.747135, -58.979709];[12.623108, -59.133265];21.625972653775747
[12.990864, -59.776401];[13.082204, -60.074967];33.90061339159814
[12.990864, -59.776401];[12.623108, -59.133265];80.83986517745807
[13.082204, -60.074967];[13.381307, -61.052661];110.93151217117908
[13.082204, -60.074967];[13.49999, -61.5];161.05711086264972
[13.381307, -61.052661];[13.087571, -59.945523];124.20976475803559
[13.381307, -61.052661];[13.49999, -61.5];21.31487153144831
[13.49999, -61.5];[13.381307, -61.052661];50.14715177270151
[13.49999, -61.5];[17.057321, -66.274311];647.0048808739381
[13.49999, -61.5];[14.557933, -61.562239];117.82950407875956
[13.49999, -61.5];[11.99997, -61.900009];319.71921529816575
[18.89999, -64.349998];[18.432128, -65.017646];87.48341571484175
[18.89999, -64.349998];[18.430587, -65.010096];86.94826610664336
[18.89999, -64.349998];[18.700001, -66.0];175.10083404559524
