Unique Id; Longitude; Latitude
1;-19.000019;11.0
2;-19.680148;4.224433
3;-20.00001;0.0
4;20.74999;38.900009
5;16.29999;41.200001
6;20.817065;-71.705206
7;20.29999;-72.0
8;-20.999981;-175.5
9;-20.951269;-175.296936
10;-20.00001;-170.0
11;-23.95577;-175.805176
12;-24.723026;-174.455771
13;-26.958143;-170.524773
14;-27.256961;-169.99923
15;-28.287332;-168.187071
16;-30.093368;-165.010719
17;-31.931988;-161.777059
18;-32.943103;-159.998767
19;-35.633011;-155.26791
20;-36.426721;-153.871978
21;-38.628638;-149.999372
22;-39.151227;-149.080271
23;-40.053525;-147.493361
24;-42.861463;-142.55492
25;-44.315634;-139.997407
26;-46.516567;-136.126531
27;-50.000038;-130.0
28;-1e-05;8.0
29;-2e-05;0.0
30;2.99997;8.0
31;37.39999;7.5
32;37.499981;11.0
33;41.099991;29.1
34;42.999969;33.0
35;-8.9;179.300003
36;-7.6665;178.567535
37;-7.059608;178.189026
38;-3.856155;176.191083
39;1.1;173.100006
40;25.700001;120.0
41;25.823579;122.417975
42;25.99999;128.000015
43;20.00001;129.999985
44;21.175629;124.506291
45;21.701109;122.050711
46;22.099991;120.0
47;50.79998;-1.0
48;50.79998;1.30001
49;4.99999;2.5
50;4.316434;0.036937
51;4.0;-1.0
52;-35.099998;-56.5
53;-35.249989;-54.599998
54;10.0;-50.0
55;12.74586;-58.97554
56;12.747135;-58.979709
57;12.990864;-59.776401
58;13.082204;-60.074967
59;13.381307;-61.052661
60;13.49999;-61.5
61;18.89999;-64.349998
62;18.700001;-66.0
63;17.0;-62.249989
64;17.15153;-64.155046
65;17.153227;-64.177514
66;17.258945;-65.827293
67;17.29999;-66.599998
68;42.199989;11.10001
69;41.499989;12.0
70;69.999977;17.0
71;71.149986;23.39999
72;59.399971;19.0
73;58.5;17.099991
74;-60.000019;-30.00001
75;-55.338608;-34.644908
76;-55.067602;-34.914953
77;-50.000011;-40.0
78;-50.000011;-30.0
79;-55.172972;-35.017149
80;-60.000019;-40.0
81;32.999989;34.799999
82;33.937264;35.111386
83;34.200008;35.200001
84;44.0;9.2
85;43.599998;7.8
86;24.700001;53.799999
87;25.6;55.200001
88;10.99999;-61.0
89;11.99997;-61.900009
90;21.699989;-71.199997
91;19.751069;-68.901259
92;19.75;-68.900002
93;-30.000019;159.999985
94;-30.00001;169.999985
95;-20.00001;160.0
96;-23.526008;163.543572
97;-24.153928;164.174622
98;-24.560441;164.583162
99;-25.278755;165.305056
100;-13.144327;174.075655
101;-13.250557;173.944897
102;-13.941637;173.094245
103;-18.0;168.100021
104;-10.00002;170.0
105;52.499981;4.29999
106;53.499981;4.89999
107;20.0;150.000015
108;17.78916;151.853867
109;16.017886;153.339131
110;14.649816;154.486297
111;10.011929;158.375296
112;9.133208;159.112129
113;9.131284;159.113742
114;8.074488;159.999896
115;8.074475;159.999906
116;4.407108;163.075097
117;0.53437;166.322498
118;-0.212024;166.94837
119;-2.860542;168.442085
120;-2.888392;168.457341
121;-7.162533;170.798763
122;-8.499283;171.531049
123;-9.752525;172.217588
124;-12.457194;173.699236
125;-13.243778;174.130135
126;-14.516492;174.827341
127;-14.579981;174.862121
128;-18.300011;176.899994
129;-10.00002;160.0
130;-5.444383;165.388199
131;-2.92289;168.368758
132;6.1;-55.400009
133;5.81348;-53.948395
134;5.4;-51.900002
135;12.09999;-68.5
136;12.99998;-70.0
137;11.99997;-87.599998
138;14.99998;-18.0
139;14.305563;-17.82156
140;10.99999;-16.99999
141;-6.00003;11.0
142;35.999989;-4.7
143;35.949989;-5.74999
144;49.950008;-1.3
145;49.604685;-2.485292
146;48.666691;-5.5
147;63.599991;-53.200001
148;69.0;-54.200001
149;16.568413;-62.092593
150;59.799999;24.699989
151;60.29998;28.0
152;-18.400009;178.699997
153;-18.380569;178.426331
154;-23.0;167.700012
155;-18.165911;171.761321
156;-15.244217;174.215952
157;-14.61677;174.743094
158;-12.71899;176.337494
159;-1e-05;150.000015
160;5.04662;155.010668
161;7.173313;157.1222
162;9.340233;159.324189
163;10.0;160.0
164;8.564252;159.999922
165;6.676037;159.999838
166;-2e-05;160.0
167;60.0;-9.99999
168;-20.00001;-160.000015
169;-21.283162;-159.999651
170;-22.62714;-159.999707
171;-30.000019;-160.000015
172;-30.00001;-150.0
173;-24.658332;-155.331546
174;-21.776303;-158.208108
175;35.900002;35.700001
176;35.799999;33.0
177;55.89999;12.75
178;26.999981;34.5
179;29.19998;34.900002
180;29.700001;32.599998
181;-10.00001;49.999989
182;-11.99997;43.0
183;-8.106058;44.496597
184;-8.095337;44.466582
185;-6.50003;40.0
186;-35.000011;18.0
187;-27.000019;14.00001
188;-14.50584;-175.890411
189;-12.798694;-173.658682
190;-10.00001;-170.0
191;-11.63368;-175.816116
192;-14.357706;-170.771619
193;-14.36573;-170.75676
194;-14.39999;-170.700012
195;20.99999;-18.0
196;26.748127;-14.008511
197;29.555959;-11.862639
198;31.79999;-10.1
199;-13.77725;-171.754608
200;-14.73458;-171.667786
201;12.69999;43.299999
202;14.99998;42.0
203;-29.99999;32.0
204;-26.0;33.999989
205;-13.99999;45.60001
206;-4.6;55.299992
207;-15.395864;53.354752
208;-20.699989;58.0
209;-3.972252;54.576718
210;-2e-05;57.543966
211;1.804881;58.890649
212;3.289402;59.999823
213;3.996934;60.528462
214;7.145348;62.906018
215;8.536008;63.964278
216;8.568578;63.989523
217;9.704838;64.870239
218;9.86293;64.992775
219;10.035781;65.126752
220;12.660059;67.182638
221;14.678576;68.801766
222;16.139521;69.999364
223;18.99999;72.400009
224;11.1;-86.800003
225;-41.999981;175.0
226;-41.607079;174.756363
227;-41.200039;174.5
228;-34.200031;-58.400009
229;-30.000019;-120.0
230;-25.141591;-124.857178
231;-24.992488;-125.006242
232;-20.00001;-130.0
233;-30.00001;-130.0
234;-25.135471;-125.149619
235;-22.063381;-122.069048
236;-20.000031;-120.0
237;-13.70001;-77.0
238;-12.00002;-77.699997
239;41.099991;-8.99999
240;38.5;-9.6
241;-10.00001;147.0
242;-12.0;150.000015
243;-4.8;147.0
244;-7.00001;149.0
245;-2e-05;140.0
246;3.021066;137.019103
247;5.062193;135.00513
248;10.00001;129.999985
249;10.00001;140.000015
250;8.49998;-14.50001
251;24.700001;52.099991
252;26.29999;51.599991
253;-19.962574;55.850317
254;-18.0;50.0
255;-26.400021;48.099998
256;-23.09739;53.809865
257;-2e-05;180.0
258;3.440663;174.906971
259;3.445138;174.900348
260;6.10232;170.967087
261;49.999981;-50.0
262;46.799999;-52.700001
263;52.499981;-54.0
264;49.599979;-52.5
265;54.512529;-44.32777
266;57.288621;-40.002328
267;58.266206;-38.197209
268;59.999989;-34.586453
269;62.734539;-27.520724
270;62.740004;-27.50463
271;64.099968;-23.50001
272;48.263211;-50.00105
273;47.578546;-50.001464
274;46.558569;-50.00208
275;43.617313;-50.002185
276;42.754767;-50.001664
277;40.620267;-50.000375
278;39.999981;-50.0
279;48.899094;-48.82814
280;48.147789;-48.028399
281;47.295374;-47.12103
282;45.405306;-45.10911
283;45.317708;-45.015864
284;42.796167;-42.618313
285;41.015602;-40.951015
286;39.999981;-40.0
287;49.999981;-46.515315
288;49.999981;-40.0
289;59.999981;-50.0
290;55.432343;-45.247344
291;59.999989;-40.0
292;50.866401;-30.831553
293;50.890023;-30.000773
294;50.912282;-29.217986
295;50.981347;-20.94171
296;50.940151;-20.000808
297;50.906107;-19.223267
298;50.717723;-14.920665
299;50.346006;-11.669811
300;49.749989;-6.58331
301;48.508366;-41.658621
302;45.216558;-45.318991
303;42.807438;-47.493289
304;40.652863;-49.417057
305;48.819421;-40.000711
306;46.719808;-40.001975
307;42.706985;-40.001629
308;40.998145;-40.000601
309;49.016057;-38.952643
310;47.354699;-37.184178
311;45.405304;-35.109108
312;43.193634;-32.990496
313;42.072378;-31.940566
314;40.581404;-30.544437
315;39.999981;-30.0
316;49.999981;-31.581025
317;49.999981;-30.00001
318;51.979293;-41.898264
319;52.690422;-40.002308
320;53.807663;-36.736051
321;55.430877;-35.249028
322;59.999989;-30.0
323;9.09998;166.399994
324;9.53178;171.291367
325;10.00001;180.0
326;46.249981;30.9
327;13.0;122.100014
328;14.4;119.899979
329;18.432128;-65.017646
330;18.406259;-65.054561
331;17.980624;-65.661949
332;17.978858;-65.664469
333;17.978227;-65.665369
334;17.962767;-65.687431
335;29.099991;48.300011
336;26.499981;50.5
337;17.54067;-62.836312
338;-10.00002;60.0
339;-2e-05;59.999981
340;-33.500019;28.5
341;-10.00002;0.0
342;-12.312983;-2.261325
343;-15.142903;-5.028065
344;-16.728427;-6.625211
345;-16.737718;-6.634794
346;-20.00001;-10.0
347;-30.00001;9.99999
348;-25.73043;4.58122
349;-22.121247;0.000598
350;-21.216505;-1.147663
351;-20.03662;-2.645123
352;-16.752328;-6.604195
353;-12.890865;-9.999532
354;-11.387474;-11.321445
355;-10.018554;-12.525119
356;-8.00001;-14.3
357;44.599979;14.00001
358;45.299992;13.1
359;7.188885;-13.164807
360;5.49998;-11.50001
361;43.89999;13.6
362;43.599998;9.99999
363;1.1;103.600014
364;3.70001;109.800034
365;3.0;104.599991
366;1.5;45.60001
367;4.99999;49.39999
368;20.0;-50.0
369;17.352898;-53.277354
370;15.605406;-55.440909
371;12.819056;-58.890664
372;12.786995;-58.930358
373;12.75738;-58.967024
374;12.623108;-59.133265
375;35.0;11.6
376;35.999989;14.7
377;33.199989;13.1
378;25.499981;57.099991
379;24.00001;59.0
380;-1.54888;90.000061
381;-1.548857;90.000003
382;-1.112932;88.902886
383;-1e-05;86.101929
384;2.149469;80.692209
385;2.605629;79.544164
386;3.386524;77.578839
387;4.473028;74.844371
388;5.470717;72.264645
389;5.746626;71.517522
390;6.307115;69.999801
391;7.316703;67.265981
392;10.0;60.0
393;13.00001;51.0
394;12.521263;53.015171
395;10.882374;59.913681
396;10.702837;60.669402
397;10.025836;63.519077
398;8.781487;68.756869
399;8.486175;69.999914
400;8.282092;70.858951
401;7.709135;73.270677
402;6.950916;76.024481
403;5.79999;80.099998
404;2.00001;102.0
405;3.19999;100.600014
406;12.99999;100.399986
407;7.544055;102.717915
408;-19.181589;-170.096664
409;-15.086426;-165.085319
410;-10.00002;-160.0
411;21.699989;114.100014
412;20.4;111.350014
413;20.249981;107.100014
414;16.10001;109.000023
415;-15.00001;41.700001
416;-11.759551;43.81939
417;15.19997;-61.60001
418;40.099991;18.9
419;40.811849;18.36687
420;40.900002;18.299999
421;42.799999;6.0
422;-15.071026;53.773222
423;39.5;128.500015
424;37.89999;129.300034
425;-10.00002;100.0
426;-8.70001;110.250023
427;-15.041603;104.57818
428;-20.00001;100.0
429;30.1;48.900002
430;3.49999;-7.49999
431;54.39999;14.39999
432;54.999989;19.0
433;-34.5;26.0
434;31.99999;17.0
435;35.900002;141.300003
436;34.799999;139.899994
437;47.999989;-4.99999
438;47.29998;-3.9
439;18.99999;-78.199997
440;18.49999;-75.0
441;15.598756;-76.694873
442;15.225904;-76.905571
443;13.973106;-77.613526
444;10.662197;-79.484518
445;10.550279;-79.547763
446;9.926919;-79.900023
447;9.75;-80.0
448;31.899981;34.200001
449;32.242413;34.385358
450;38.049992;124.100021
451;-4.20001;40.299999
452;39.399979;124.300003
453;1.27382;173.224518
454;2.292765;174.015681
455;3.434614;174.902274
456;1.18018;173.039032
457;1.335381;172.908929
458;-7.00001;104.0
459;-5.20002;106.799988
460;54.799992;-5.20001
461;53.499981;-4.7
462;56.29998;-2.3
463;55.099991;-1.0
464;40.700001;14.1
465;4.0;-3.99999
466;13.5;144.800003
467;13.489381;144.784168
468;13.506281;144.795995
469;13.508596;144.794285
470;14.561122;144.016933
471;18.034948;141.451307
472;20.0;140.0
473;37.79998;24.450001
474;36.499989;23.6
475;40.199989;22.799999
476;39.399979;25.5
477;13.49998;-91.0
478;14.99998;-94.800003
479;6.99999;-57.900002
480;17.29999;-73.0
481;17.499981;-69.75
482;22.99999;117.0
483;16.0;-83.75
484;16.25;-87.800003
485;44.559613;14.054382
486;44.0;14.8
487;63.0;-20.0
488;65.599983;-24.900009
489;62.442651;-7.013289
490;66.999977;0.0
491;60.818564;-5.278182
492;61.999962;4.09998
493;-30.000019;-140.0
494;-25.246628;-135.031957
495;-20.00001;-140.0
496;49.89999;0.09999
497;54.499969;12.2
498;55.599991;10.89999
499;57.699989;11.39999
500;11.99997;45.0
501;18.49999;-67.949989
502;-1.292569;47.029392
503;-1.280037;47.058193
504;-1e-05;50.0
505;0.750333;47.799015
506;0.745725;47.812531
507;11.6;52.299992
508;1.19998;-80.300003
509;3.89997;-78.0
510;-7.3;-80.199997
511;-5.25001;-81.900002
512;51.25;-5.89999
513;53.39999;-5.7
514;51.599991;-8.0
515;59.5;22.6
516;58.199989;20.60001
517;57.5;23.6
518;13.09998;-89.5
519;12.69999;-88.099998
520;-50.000011;-60.0
521;-51.500031;-57.599998
522;-50.000038;-50.0
523;-60.000019;-60.0
524;6.466488;90.000039
525;21.674068;90.000042
526;21.673981;90.0
527;10.939783;90.000037
528;13.543367;90.000013
529;13.543306;90.000036
530;-42.238874;89.999994
531;-16.0982;90.000061
532;-16.098117;90.000035
533;-16.098047;90.000013
534;-1.54896;90.000034
535;29.306801;-94.625076
536;25.99999;-91.0
537;26.184179;-91.916748
538;29.532579;-93.726501
539;-50.000011;89.999992
540;-50.000011;90.0
541;-40.0;89.999992
542;-40.000031;90.0
543;-30.00001;89.999992
544;-30.000019;90.0
545;-20.00001;89.999992
546;-20.000031;90.0
547;-10.00001;89.999992
548;-10.00002;90.0
549;-1e-05;89.999992
550;-3e-05;90.0
551;-32.086208;90.000036
552;-19.876423;89.999993
553;6.466547;90.000016
554;21.674122;90.00002
555;-32.086104;90.000013
556;58.700001;-5.20002
557;58.543029;-8.637036
558;56.89999;-7.10002
559;58.474561;-10.136193
560;54.400002;-10.5
561;64.000008;-15.0
562;58.396658;-11.84192
563;55.462503;-15.212697
564;50.548386;-19.529907
565;49.999981;-20.0
566;59.999989;-20.0
567;67.999992;11.99998
568;66.499977;-13.0
569;30.098101;-88.048051
570;30.108601;-88.053195
571;30.132771;-88.065033
572;26.00001;-97.0
573;26.05126;-96.98053
574;28.799999;-89.0
575;28.935749;-89.008881
576;26.706962;-82.387994
577;26.6665;-82.322594
578;24.599979;-80.900002
579;24.62705;-81.112213
580;24.29999;-82.699997
581;24.218651;-81.824966
582;10.36667;-79.899986
583;18.666651;-66.166763
584;17.823999;-67.297318
585;41.799992;-69.25
586;41.591721;-69.527451
587;40.299992;-69.5
588;40.478204;-68.880137
589;40.503399;-68.792503
590;41.417049;-71.333557
591;40.599979;-74.0
592;40.60606;-74.045631
593;40.099991;-73.800003
594;40.0966;-73.946274
595;36.949989;-75.949997
596;36.84679;-75.806717
597;32.75;-79.800003
598;32.739182;-79.845428
599;35.599991;-75.099998
600;35.814442;-75.07373
601;44.283501;-66.761841
602;29.599979;-85.699997
603;29.838091;-85.774384
604;54.64986;-133.980499
605;57.877781;-137.512695
606;60.14389;-146.769394
607;59.300259;-148.942703
608;57.5;-152.0
609;56.963009;-151.933197
610;55.09996;-165.800003
611;54.491051;-165.362106
612;51.599991;-176.699982
613;51.85743;-176.646011
614;53.799969;-164.0
615;54.055759;-164.255905
616;59.999989;-167.999985
617;59.04211;-168.574448
618;64.29998;-166.499985
619;64.199966;-172.300003
620;63.738281;-171.645462
621;54.30003;-130.330154
622;48.499981;-125.0
623;48.568321;-125.501602
624;45.650162;-124.9954
625;37.699989;-122.900002
626;37.43644;-123.402801
627;33.599979;-118.099998
628;33.62759;-118.121498
629;32.700001;-117.300003
630;32.66523;-117.770203
631;6.99999;-80.0
632;7.1333;-79.833412
633;21.166691;-157.669998
634;21.166788;-157.669898
635;21.214837;-157.620571
636;21.321671;-157.510895
637;20.00001;-155.0
638;19.898621;-154.481094
639;28.49999;-178.5
640;28.013223;-178.986758
641;28.000701;-178.99928
642;27.999981;-179.0
643;49.999981;-66.000008
644;49.79023;-65.500366
645;46.099979;-59.299992
646;45.283508;-60.2173
647;43.299992;-65.499992
648;43.19997;-65.399986
649;21.99999;-86.0
650;21.733299;-86.049988
651;20.0;-73.900002
652;20.00001;-73.799988
653;34.29998;-120.900009
654;34.4361;-120.884102
655;34.036739;-77.893066
656;30.39999;-81.199997
657;30.28615;-81.19046
658;26.4;-79.800003
659;26.79286;-79.890411
660;27.693069;-96.933937
661;58.599991;-44.200008
662;54.524569;-34.34247
663;50.108237;-30.103908
664;55.657057;-30.003736
665;50.115844;-30.000109
666;56.494368;-26.354286
667;55.431221;-25.248654
668;50.530419;-20.509003
669;57.823851;-17.704327
670;51.299999;-10.8
671;56.983387;-23.465508
672;50.123618;-29.894028
673;57.552727;-20.002105
674;50.539751;-20.000464
675;48.87417;-28.801661
676;45.817636;-25.548189
677;45.405221;-25.109202
678;39.999981;-20.0
679;49.72662;-19.742411
680;47.798284;-17.925329
681;45.669459;-15.919327
682;43.919506;-14.289225
683;42.160113;-12.766912
684;41.094844;-11.845188
685;12.577746;53.059019
686;14.03087;54.187084
687;20.00001;59.000011
688;49.737329;-19.579387
689;48.056815;-16.888198
690;46.810897;-14.892975
691;45.066284;-12.396518
692;43.402321;-10.063994
693;42.999989;-9.50001
694;50.006344;-11.9795
695;50.463013;-16.723203
696;49.686826;-20.348216
697;46.23849;-24.182639
698;41.584876;-28.584885
699;40.490511;-29.562017
700;49.709688;-20.000175
701;47.280711;-20.001638
702;61.099972;-64.500008
703;49.999981;-140.0
704;49.999975;-135.056715
705;49.999969;-129.999985
706;47.654888;-142.607664
707;46.635327;-143.741381
708;45.40224;-145.112531
709;42.261403;-147.980835
710;41.200862;-148.927765
711;39.999981;-150.0
712;46.613894;-140.002037
713;45.456571;-140.002733
714;41.431851;-140.00086
715;39.999981;-140.0
716;45.401521;-135.113316
717;44.040335;-133.790184
718;43.979657;-133.733263
719;43.754152;-133.52172
720;42.520821;-132.364749
721;42.442024;-132.29083
722;40.889368;-130.834306
723;39.999981;-129.999985
724;49.999981;-150.0
725;48.396484;-31.783035
726;42.592312;-37.685368
727;40.982027;-39.123154
728;48.694568;-30.000793
729;44.262391;-30.002565
730;41.790615;-30.001077
731;40.531062;-30.00032
732;38.799992;-28.400009
733;20.00001;160.0
734;17.754801;159.999637
735;20.059407;155.707378
736;21.609751;158.481487
737;25.27664;155.000157
738;30.0;150.000015
739;22.42123;159.99932
740;30.0;160.0
741;24.67974;164.414974
742;30.0;170.0
743;20.0;180.0
744;17.35491;176.46608
745;14.999161;173.476778
746;14.6492;173.0327
747;19.857349;173.74086
748;19.499981;167.5
749;20.0;-180.0
750;24.253099;-179.27562
751;27.896654;-178.610189
752;28.125319;-178.568427
753;15.00108;179.999207
754;17.543751;-177.406326
755;15.170354;-174.999787
756;15.05466;-174.882477
757;12.70523;-172.368897
758;10.0;-170.0
759;20.06918;-174.999588
760;20.0;-170.0
761;25.083611;175.204498
762;25.08494;-175.202774
763;25.218847;-175.061028
764;26.549354;-173.652638
765;26.971586;-173.205689
766;29.282759;-170.759227
767;30.0;-170.0
768;10.0;-140.0
769;4.835673;-140.000251
770;-1e-05;-140.0
771;8.466055;-138.434978
772;5.057167;-134.999909
773;-1e-05;-130.0
774;10.0;-150.0
775;10.016445;-137.760089
776;9.99999;-129.999985
777;15.170357;-144.999794
778;20.0;-150.0
779;20.00001;-140.0
780;14.316971;-135.839819
781;15.170357;-134.999794
782;19.55189;-130.473107
783;19.614708;-130.406783
784;20.0;-129.999985
785;5.057167;-124.999917
786;-2e-05;-120.0
787;10.0;-120.0
788;15.472949;-135.306611
789;19.486856;-130.000069
790;19.556752;-130.000058
791;15.170355;-124.999792
792;18.188446;-121.912645
793;18.211933;-121.887847
794;19.99999;-120.0
795;5.057167;-114.999917
